sample	disposition	genbank_accession	biosample_acc
ERR1560905	Available	GCA_041974685.1	SAMEA3485694
ERR1602765	Available	GCA_041973425.1	SAMEA3485391
ERR1469733	Available	GCA_042011005.1	SAMEA3374704
ERR1469743	Available	GCA_042010745.1	SAMEA3374715
ERR1528258	Available	GCA_042003725.1	SAMEA3431813
ERR1549677	Available	GCA_042002325.1	SAMEA3468085
ERR1549755	Available	GCA_042000795.1	SAMEA3468229
ERR1555194	Available	GCA_041978045.1	SAMEA3468253
ERR1560880	Available	GCA_041975185.1	SAMEA3485669
ERR1469636	Available	GCA_042012185.1	SAMEA3390223
ERR1469759	Available	GCA_042010435.1	SAMEA3374731
ERR1471131	Available	GCA_042010205.1	SAMEA3373499
ERR1471136	Available	GCA_042010095.1	SAMEA3373521
ERR1471141	Available	GCA_042009935.1	SAMEA3373535
ERR1514713	Available	GCA_042009015.1	SAMEA3431731
ERR1528221	Available	GCA_042004445.1	SAMEA3431939
ERR1555170	Available	GCA_041999725.1	SAMEA3468220
ERR1555180	Available	GCA_041999525.1	SAMEA3468239
ERR1560851	Available	GCA_041975725.1	SAMEA3485640
ERR1560881	Available	GCA_041975205.1	SAMEA3485670
ERR1469572	Available	GCA_042013415.1	SAMEA3373464
ERR1469581	Available	GCA_042013235.1	SAMEA3373475
ERR1469601	Available	GCA_042012825.1	SAMEA3373502
ERR1514710	Available	GCA_042009055.1	SAMEA3431728
ERR1514729	Available	GCA_042008695.1	SAMEA3431750
ERR1514764	Available	GCA_042008025.1	SAMEA3431977
SRR8560199	Available	GCA_041963575.1	SAMN10915094
SRR8560215	Available	GCA_041963295.1	SAMN10914634
SRR8560265	Available	GCA_041962525.1	SAMN10914802
SRR8560276	Available	GCA_041962435.1	SAMN10914809
SRR8560286	Available	GCA_041961935.1	SAMN10914963
SRR8560296	Available	GCA_041961715.1	SAMN10914653
SRR8559506	Available	GCA_041989445.1	SAMN10913179
SRR8559581	Available	GCA_041988085.1	SAMN10912971
SRR8559638	Available	GCA_041983365.1	SAMN10913391
SRR8559725	Available	GCA_041979645.1	SAMN10913035
SRR8560137	Available	GCA_041964705.1	SAMN10915031
SRR8560189	Available	GCA_041963795.1	SAMN10914993
SRR8559531	Available	GCA_041989005.1	SAMN10913353
SRR8559551	Available	GCA_041988625.1	SAMN10913570
SRR8559596	Available	GCA_041986765.1	SAMN10913521
SRR8559715	Available	GCA_041979805.1	SAMN10912905
SRR8559750	Available	GCA_041979105.1	SAMN10913595
SRR8559760	Available	GCA_041978865.1	SAMN10913269
SRR8560097	Available	GCA_041965525.1	SAMN10915065
SRR8560107	Available	GCA_041965355.1	SAMN10914833
SRR8560271	Available	GCA_041962115.1	SAMN10914804
SRR8566826	Available	GCA_037876935.1	SAMN10920667
SRR8567207	Available	GCA_037869305.1	SAMN10920765
SRR8566603	Available	GCA_037882225.1	SAMN10921172
SRR8566633	Available	GCA_037881455.1	SAMN10921146
SRR8566732	Available	GCA_037878825.1	SAMN10921074
SRR8566755	Available	GCA_037878385.1	SAMN10920995
SRR8566805	Available	GCA_037877315.1	SAMN10920534
SRR8566886	Available	GCA_037875605.1	SAMN10921152
SRR8566963	Available	GCA_037874035.1	SAMN10920465
SRR8566983	Available	GCA_037873635.1	SAMN10921113
SRR8567008	Available	GCA_037873125.1	SAMN10921179
SRR8567065	Available	GCA_037872025.1	SAMN10920942
SRR8567070	Available	GCA_037871895.1	SAMN10920947
SRR8567092	Available	GCA_037871415.1	SAMN10920732
SRR8567095	Available	GCA_037871395.1	SAMN10921000
SRR8567147	Available	GCA_037870415.1	SAMN10920750
SRR8567157	Available	GCA_037870295.1	SAMN10920614
SRR8567167	Available	GCA_037870105.1	SAMN10920454
SRR8567202	Available	GCA_037869425.1	SAMN10920807
SRR8567239	Available	GCA_037868655.1	SAMN10920719
SRR8567254	Available	GCA_037868335.1	SAMN10920939
SRR8567259	Available	GCA_037868215.1	SAMN10920970
SRR8560392	Available	GCA_041959855.1	SAMN10914731
SRR8560457	Available	GCA_041958555.1	SAMN10914978
SRR8560493	Available	GCA_041957655.1	SAMN10914684
SRR8560523	Available	GCA_037886675.1	SAMN10914825
SRR8560550	Available	GCA_037886175.1	SAMN10915027
SRR8560570	Available	GCA_037885675.1	SAMN10914586
SRR8560590	Available	GCA_037885285.1	SAMN10914807
SRR8566497	Available	GCA_037884665.1	SAMN10921021
SRR8566502	Available	GCA_037884565.1	SAMN10920988
SRR8566544	Available	GCA_037883615.1	SAMN10921145
SRR8566608	Available	GCA_037882105.1	SAMN10921190
SRR8566659	Available	GCA_037880395.1	SAMN10920588
SRR8566676	Available	GCA_037880055.1	SAMN10920672
SRR8566735	Available	GCA_037878765.1	SAMN10920927
SRR8566747	Available	GCA_037878495.1	SAMN10921183
SRR8566844	Available	GCA_037876525.1	SAMN10920684
SRR8566859	Available	GCA_037876155.1	SAMN10921098
SRR8566879	Available	GCA_037875745.1	SAMN10920600
SRR8566901	Available	GCA_037875225.1	SAMN10921051
SRR8566925	Available	GCA_037874755.1	SAMN10920798
SRR8566936	Available	GCA_037874695.1	SAMN10920553
SRR8566981	Available	GCA_037873675.1	SAMN10921111
SRR8567016	Available	GCA_037872965.1	SAMN10920513
SRR8567026	Available	GCA_037872795.1	SAMN10921122
SRR8567031	Available	GCA_037872665.1	SAMN10921086
SRR8567103	Available	GCA_037871275.1	SAMN10921041
SRR8567123	Available	GCA_037870855.1	SAMN10920646
SRR8567180	Available	GCA_037869845.1	SAMN10920790
SRR8567275	Available	GCA_037867915.1	SAMN10920414
SRR8567280	Available	GCA_037867815.1	SAMN10920417
SRR8560491	Available	GCA_041957965.1	SAMN10914686
SRR8566570	Available	GCA_037883115.1	SAMN10920636
SRR8567131	Available	GCA_037870755.1	SAMN10920565
SRR8566689	Available	GCA_037879855.1	SAMN10920729
SRR16999340	Available	GCA_042071765.1	SAMN15970765
SRR16999360	Available	GCA_042071425.1	SAMN14835687
SRR16999460	Available	GCA_042069555.1	SAMN14170557
SRR16999492	Available	GCA_042068965.1	SAMN13975305
SRR16999564	Available	GCA_042067725.1	SAMN13976899
SRR16999612	Available	GCA_042066805.1	SAMN13896495
SRR16999637	Available	GCA_042066285.1	SAMN14835668
SRR16999642	Available	GCA_042066205.1	SAMN14835663
SRR16999361	Available	GCA_042071385.1	SAMN14835686
SRR16999386	Available	GCA_042070945.1	SAMN13672905
SRR16999416	Available	GCA_042070445.1	SAMN14484857
SRR16999465	Available	GCA_042069445.1	SAMN14170513
SRR16999468	Available	GCA_042069465.1	SAMN14078994
SRR16999476	Available	GCA_042069345.1	SAMN14078987
SRR16999528	Available	GCA_042068365.1	SAMN13928391
SRR16999541	Available	GCA_042068145.1	SAMN14170500
SRR16999551	Available	GCA_042068025.1	SAMN14170471
SRR16999692	Available	GCA_042065245.1	SAMN14828588
SRR16999694	Available	GCA_042065145.1	SAMN14828586
SRR16999762	Available	GCA_042064045.1	SAMN14291735
SRR16643906	Available	GCA_037842085.1	SAMN12002529
SRR16644115	Available	GCA_037838225.1	SAMN12708635
SRR16644125	Available	GCA_037838045.1	SAMN12708628
DRR124840	Available	GCA_042058535.1	SAMD00099552
DRR124814	Available	GCA_042059135.1	SAMD00099526
DRR124854	Available	GCA_042058335.1	SAMD00099566
DRR124864	Available	GCA_042058135.1	SAMD00099576
SRR7226380	Available	GCA_042057495.1	SAMN09273339
DRR124851	Available	GCA_042058375.1	SAMD00099563
DRR124888	Available	GCA_042057675.1	SAMD00099600
SRR7226385	Available	GCA_042057415.1	SAMN09273316
DRR124805	Available	GCA_042059275.1	SAMD00099517
DRR124817	Available	GCA_042059055.1	SAMD00099529
SRR6765459	Available	GCA_042052495.1	SAMN08583336
SRR6765504	Available	GCA_042051815.1	SAMN08583500
SRR6765516	Available	GCA_042051655.1	SAMN08583215
SRR6765524	Available	GCA_042051455.1	SAMN08583293
SRR6765564	Available	GCA_042050915.1	SAMN08583546
SRR6765573	Available	GCA_042050835.1	SAMN08583250
SRR6765592	Available	GCA_042050555.1	SAMN08583182
DRR117955	Available	GCA_042056755.1	SAMD00105875
DRR117981	Available	GCA_042056255.1	SAMD00105901
DRR117983	Available	GCA_042056215.1	SAMD00105903
SRR6765408	Available	GCA_042053255.1	SAMN08583300
SRR6765430	Available	GCA_042052955.1	SAMN08583430
SRR6765487	Available	GCA_042052175.1	SAMN08583595
SRR6765505	Available	GCA_042051855.1	SAMN08583501
SRR6765542	Available	GCA_042051195.1	SAMN08583175
SRR6765621	Available	GCA_042050215.1	SAMN08583601
SRR6765645	Available	GCA_042049795.1	SAMN08583228
SRR6765688	Available	GCA_042049295.1	SAMN08583263
SRR6765690	Available	GCA_042049255.1	SAMN08583265
ERR3623179	Available	GCA_042047855.1	SAMEA6124307
ERR3623183	Available	GCA_042047735.1	SAMEA6124311
ERR3623198	Available	GCA_042047455.1	SAMEA6124326
ERR3623215	Available	GCA_042047135.1	SAMEA6124342
ERR3623379	Available	GCA_042046235.1	SAMEA6124394
ERR3623387	Available	GCA_042046075.1	SAMEA6124402
ERR3623454	Available	GCA_042045055.1	SAMEA6124468
ERR3623457	Available	GCA_042045095.1	SAMEA6124471
ERR3623465	Available	GCA_042044875.1	SAMEA6124478
ERR3623478	Available	GCA_042044655.1	SAMEA6124491
ERR3623486	Available	GCA_042044495.1	SAMEA6124499
DRR237456	Available	GCA_042018965.1	SAMD00235415
DRR237469	Available	GCA_042018805.1	SAMD00235432
DRR237506	Available	GCA_042017615.1	SAMD00235469
DRR248361	Available	GCA_042016435.1	SAMD00247488
DRR248372	Available	GCA_042016215.1	SAMD00247499
DRR237457	Available	GCA_042018925.1	SAMD00235416
DRR237488	Available	GCA_042018025.1	SAMD00235451
DRR237497	Available	GCA_042017755.1	SAMD00235460
DRR237500	Available	GCA_042017675.1	SAMD00235463
DRR237539	Available	GCA_042017005.1	SAMD00235502
DRR237553	Available	GCA_042016785.1	SAMD00235516
DRR248441	Available	GCA_042014915.1	SAMD00247568
DRR248443	Available	GCA_042014955.1	SAMD00247570
ERR1469579	Available	GCA_042013255.1	SAMEA3373472
ERR1469644	Available	GCA_042012215.1	SAMEA3390234
ERR1469674	Available	GCA_042011835.1	SAMEA3390280
ERR1514715	Available	GCA_042008955.1	SAMEA3431733
ERR1514721	Available	GCA_042008855.1	SAMEA3431739
ERR1514802	Available	GCA_042007225.1	SAMEA3432425
ERR1514813	Available	GCA_042006985.1	SAMEA3432436
ERR1514828	Available	GCA_042006705.1	SAMEA3432451
ERR1528138	Available	GCA_042006125.1	SAMEA3431670
ERR1528158	Available	GCA_042005745.1	SAMEA3431829
ERR1528178	Available	GCA_042005345.1	SAMEA3431869
ERR1528204	Available	GCA_042004725.1	SAMEA3431921
ERR1528319	Available	GCA_042002645.1	SAMEA3431779
ERR1549699	Available	GCA_042001865.1	SAMEA3468113
ERR1560804	Available	GCA_041976595.1	SAMEA3485593
ERR1560824	Available	GCA_041976215.1	SAMEA3485613
ERR1560874	Available	GCA_041975345.1	SAMEA3485663
ERR1560879	Available	GCA_041975235.1	SAMEA3485668
ERR1560884	Available	GCA_041975135.1	SAMEA3485673
ERR1560907	Available	GCA_041974825.1	SAMEA3485696
ERR1621697	Available	GCA_041972775.1	SAMEA3507427
ERR1680320	Available	GCA_041972205.1	SAMEA3468126
ERR1469730	Available	GCA_042011045.1	SAMEA3374701
ERR1471125	Available	GCA_042010295.1	SAMEA3373474
ERR1560793	Available	GCA_041976885.1	SAMEA3485582
ERR1560848	Available	GCA_041975825.1	SAMEA3485637
SRR8559212	Available	GCA_041995245.1	SAMN10913404
SRR8559386	Available	GCA_041991745.1	SAMN10913233
SRR8559498	Available	GCA_041989605.1	SAMN10913126
SRR8559690	Available	GCA_041980645.1	SAMN10913544
SRR8559864	Available	GCA_041969285.1	SAMN10913609
SRR8559874	Available	GCA_041969075.1	SAMN10913288
SRR8560201	Available	GCA_041963565.1	SAMN10915096
SRR8560333	Available	GCA_041961055.1	SAMN10914692
SRR8559218	Available	GCA_041995145.1	SAMN10913400
SRR8559326	Available	GCA_041992945.1	SAMN10912986
SRR8559336	Available	GCA_041992725.1	SAMN10913247
SRR8559457	Available	GCA_041990405.1	SAMN10913602
SRR8559467	Available	GCA_041990205.1	SAMN10913499
SRR8559477	Available	GCA_041990005.1	SAMN10912888
SRR8559514	Available	GCA_041989325.1	SAMN10913120
SRR8559675	Available	GCA_041981445.1	SAMN10913085
SRR8559685	Available	GCA_041980895.1	SAMN10912928
SRR8559695	Available	GCA_041980465.1	SAMN10913541
SRR8559732	Available	GCA_041979485.1	SAMN10913019
SRR8559742	Available	GCA_041979265.1	SAMN10912837
SRR8559752	Available	GCA_041979025.1	SAMN10913274
SRR8559818	Available	GCA_041970285.1	SAMN10913218
SRR8559839	Available	GCA_041969785.1	SAMN10912979
SRR8560034	Available	GCA_041966805.1	SAMN10914988
SRR8560044	Available	GCA_041966685.1	SAMN10914791
SRR8560212	Available	GCA_041963355.1	SAMN10914761
SRR8560217	Available	GCA_041963215.1	SAMN10914636
SRR8560323	Available	GCA_041961155.1	SAMN10914649
SRR8560338	Available	GCA_041960795.1	SAMN10914926
SRR8560340	Available	GCA_041960925.1	SAMN10914880
SRR8560379	Available	GCA_041960095.1	SAMN10914918
SRR8559176	Available	GCA_041995965.1	SAMN10913514
SRR8559201	Available	GCA_041995385.1	SAMN10913153
SRR8559280	Available	GCA_041993805.1	SAMN10912892
SRR8559301	Available	GCA_041993445.1	SAMN10913034
SRR8559306	Available	GCA_041993345.1	SAMN10913161
SRR8559373	Available	GCA_041992005.1	SAMN10913558
SRR8559388	Available	GCA_041991705.1	SAMN10913423
SRR8559398	Available	GCA_041991505.1	SAMN10912857
SRR8559415	Available	GCA_041991205.1	SAMN10913290
SRR8559420	Available	GCA_041991085.1	SAMN10913285
SRR8559490	Available	GCA_041989785.1	SAMN10912933
SRR8559500	Available	GCA_041989525.1	SAMN10913132
SRR8559613	Available	GCA_041985965.1	SAMN10913136
SRR8559803	Available	GCA_041970495.1	SAMN10913579
SRR8559866	Available	GCA_041969225.1	SAMN10913610
SRR8559881	Available	GCA_041968905.1	SAMN10912825
SRR8559891	Available	GCA_041968625.1	SAMN10913098
SRR8560132	Available	GCA_041964895.1	SAMN10915038
SRR8560142	Available	GCA_041964765.1	SAMN10914644
SRR8560148	Available	GCA_041964575.1	SAMN10914642
SRR8560160	Available	GCA_041964365.1	SAMN10914659
SRR8560225	Available	GCA_041963085.1	SAMN10914665
SRR8560240	Available	GCA_041962765.1	SAMN10914850
SRR8560361	Available	GCA_041960455.1	SAMN10914779
SRR8559591	Available	GCA_041986925.1	SAMN10913516
SRR8559561	Available	GCA_041988365.1	SAMN10913574
SRR8559740	Available	GCA_041979285.1	SAMN10912835
SRR8567197	Available	GCA_037869525.1	SAMN10920550
SRR8560412	Available	GCA_041959615.1	SAMN10914810
SRR8566638	Available	GCA_037881345.1	SAMN10920958
SRR8566795	Available	GCA_037877495.1	SAMN10920856
SRR8566810	Available	GCA_037877215.1	SAMN10920537
SRR8566821	Available	GCA_037877015.1	SAMN10920664
SRR8566881	Available	GCA_037875705.1	SAMN10920598
SRR8566920	Available	GCA_037874855.1	SAMN10920791
SRR8566948	Available	GCA_037874335.1	SAMN10920872
SRR8566968	Available	GCA_037873915.1	SAMN10920888
SRR8566998	Available	GCA_037873325.1	SAMN10920971
SRR8567003	Available	GCA_037873205.1	SAMN10920978
SRR8567052	Available	GCA_037872245.1	SAMN10920608
SRR8567080	Available	GCA_037871715.1	SAMN10920467
SRR8567090	Available	GCA_037871495.1	SAMN10920734
SRR8567152	Available	GCA_037870435.1	SAMN10921163
SRR8567162	Available	GCA_037870195.1	SAMN10920455
SRR8560437	Available	GCA_041958995.1	SAMN10915010
SRR8560478	Available	GCA_041958185.1	SAMN10914574
SRR8560514	Available	GCA_037886935.1	SAMN10915078
SRR8560530	Available	GCA_037886595.1	SAMN10914907
SRR8560545	Available	GCA_037886255.1	SAMN10914619
SRR8566549	Available	GCA_037883555.1	SAMN10921138
SRR8566849	Available	GCA_037876425.1	SAMN10920687
SRR8566854	Available	GCA_037876325.1	SAMN10921093
SRR8566869	Available	GCA_037875945.1	SAMN10921200
SRR8566891	Available	GCA_037875505.1	SAMN10921106
SRR8566896	Available	GCA_037875305.1	SAMN10921102
SRR8566931	Available	GCA_037874495.1	SAMN10920655
SRR8567097	Available	GCA_037871355.1	SAMN10921123
SRR8567270	Available	GCA_037868035.1	SAMN10920769
SRR8566560	Available	GCA_037883295.1	SAMN10920462
SRR8566565	Available	GCA_037883195.1	SAMN10920639
SRR8567116	Available	GCA_037870995.1	SAMN10920431
SRR8567218	Available	GCA_037869085.1	SAMN10921197
SRR8566679	Available	GCA_037879995.1	SAMN10920675
SRR8567101	Available	GCA_037871295.1	SAMN10921043
SRR16999316	Available	GCA_042072285.1	SAMN13918507
SRR16999403	Available	GCA_042070705.1	SAMN14502216
SRR16999420	Available	GCA_042070365.1	SAMN14404047
SRR16999450	Available	GCA_042069835.1	SAMN13918401
SRR16999477	Available	GCA_042069265.1	SAMN14078986
SRR16999652	Available	GCA_042065985.1	SAMN14640486
SRR16999657	Available	GCA_042065925.1	SAMN13918346
SRR16999667	Available	GCA_042065705.1	SAMN14588924
SRR16999677	Available	GCA_042065485.1	SAMN14588904
SRR16999679	Available	GCA_042065545.1	SAMN13918449
SRR16999711	Available	GCA_042064865.1	SAMN13957813
SRR16999716	Available	GCA_042064805.1	SAMN13957808
SRR16999351	Available	GCA_042071605.1	SAMN15970834
SRR16999354	Available	GCA_042071505.1	SAMN14828591
SRR16999378	Available	GCA_042071045.1	SAMN13918302
SRR16999381	Available	GCA_042071005.1	SAMN13719642
SRR16999406	Available	GCA_042070675.1	SAMN14502214
SRR16999488	Available	GCA_042069025.1	SAMN14078971
SRR16999496	Available	GCA_042068925.1	SAMN13975301
SRR16999511	Available	GCA_042068625.1	SAMN13873859
SRR16999548	Available	GCA_042068065.1	SAMN14170494
SRR16999558	Available	GCA_042067785.1	SAMN13918435
SRR16999568	Available	GCA_042067665.1	SAMN13975298
SRR16999627	Available	GCA_042066505.1	SAMN13896481
SRR16999638	Available	GCA_042066325.1	SAMN14835667
SRR16999747	Available	GCA_042064365.1	SAMN14214359
SRR16999757	Available	GCA_042064145.1	SAMN14291746
ERR1514826	Available	GCA_042006785.1	SAMEA3432449
ERR1514834	Available	GCA_042006605.1	SAMEA3431975
ERR1528227	Available	GCA_042004365.1	SAMEA3431945
ERR1528235	Available	GCA_042004205.1	SAMEA3431953
ERR1528322	Available	GCA_042002585.1	SAMEA3431786
ERR1549732	Available	GCA_042001245.1	SAMEA3468181
ERR1560872	Available	GCA_041975365.1	SAMEA3485661
ERR1560877	Available	GCA_041975245.1	SAMEA3485666
ERR1560953	Available	GCA_041973885.1	SAMEA3485744
ERR1514769	Available	GCA_042007915.1	SAMEA3431987
ERR1514844	Available	GCA_042006365.1	SAMEA3431994
ERR1528165	Available	GCA_042005605.1	SAMEA3431843
ERR1528317	Available	GCA_042002685.1	SAMEA3431775
ERR1560887	Available	GCA_041974985.1	SAMEA3485676
ERR1560898	Available	GCA_041974765.1	SAMEA3485687
ERR349891	Available	GCA_041972185.1	SAMEA2072157
ERR349954	Available	GCA_041956025.1	SAMEA2074781
ERR349961	Available	GCA_041955865.1	SAMEA2074760
ERR349978	Available	GCA_041955595.1	SAMEA2074789
ERR388291	Available	GCA_041955335.1	SAMEA2076721
ERR363581	Available	GCA_041952665.1	SAMEA2146799
ERR363588	Available	GCA_041952565.1	SAMEA2152926
ERR363652	Available	GCA_041951595.1	SAMEA2145708
ERR449515	Available	GCA_041970585.1	SAMEA2201923
ERR388351	Available	GCA_041954325.1	SAMEA2077000
ERR388390	Available	GCA_041953645.1	SAMEA2077013
ERR388398	Available	GCA_041953515.1	SAMEA2076691
ERR363587	Available	GCA_041952585.1	SAMEA2148127
ERR363606	Available	GCA_041952235.1	SAMEA2149548
ERR363634	Available	GCA_041951855.1	SAMEA2147285
ERR363669	Available	GCA_041951275.1	SAMEA2153491
ERR449459	Available	GCA_041951175.1	SAMEA2201867
ERR449484	Available	GCA_041951105.1	SAMEA2201892
ERR349917	Available	GCA_041972025.1	SAMEA2072313
ERR349898	Available	GCA_041957265.1	SAMEA2074563
ERR349918	Available	GCA_041956985.1	SAMEA2074570
SRR6765572	Available	GCA_042050815.1	SAMN08583251
SRR6765633	Available	GCA_042049975.1	SAMN08583416
SRR6765720	Available	GCA_042048915.1	SAMN08583196
ERR3623162	Available	GCA_042048195.1	SAMEA6124290
ERR3623168	Available	GCA_042048055.1	SAMEA6124296
ERR3623181	Available	GCA_042047815.1	SAMEA6124309
ERR3623193	Available	GCA_042047535.1	SAMEA6124321
ERR3623203	Available	GCA_042047275.1	SAMEA6124331
ERR3623223	Available	GCA_042046975.1	SAMEA6124350
ERR3623353	Available	GCA_042046635.1	SAMEA6124368
ERR3623357	Available	GCA_042046585.1	SAMEA6124372
ERR3623390	Available	GCA_042045995.1	SAMEA6124405
ERR3623414	Available	GCA_042045875.1	SAMEA6124429
ERR3623429	Available	GCA_042045595.1	SAMEA6124443
ERR3623436	Available	GCA_042045475.1	SAMEA6124450
ERR3623480	Available	GCA_042044615.1	SAMEA6124493
DRR237521	Available	GCA_042017335.1	SAMD00235484
DRR237527	Available	GCA_042017235.1	SAMD00235490
DRR248367	Available	GCA_042016315.1	SAMD00247494
DRR248392	Available	GCA_042015855.1	SAMD00247519
DRR237485	Available	GCA_042018085.1	SAMD00235448
DRR237514	Available	GCA_042017495.1	SAMD00235477
DRR237519	Available	GCA_042017365.1	SAMD00235482
DRR237529	Available	GCA_042017255.1	SAMD00235492
DRR248351	Available	GCA_042016605.1	SAMD00247478
DRR248414	Available	GCA_042015465.1	SAMD00247541
DRR248423	Available	GCA_042015285.1	SAMD00247550
DRR248434	Available	GCA_042015045.1	SAMD00247561
DRR248445	Available	GCA_042014875.1	SAMD00247572
SRR12011629	Available	GCA_042014315.1	SAMN15235508
ERR1469599	Available	GCA_042012915.1	SAMEA3373500
ERR1469609	Available	GCA_042012665.1	SAMEA3373511
ERR1469634	Available	GCA_042012205.1	SAMEA3390221
ERR1514681	Available	GCA_042009665.1	SAMEA3431692
ERR1514684	Available	GCA_042009585.1	SAMEA3431695
ERR1514736	Available	GCA_042008555.1	SAMEA3431757
ERR1514756	Available	GCA_042008185.1	SAMEA3431963
ERR1514808	Available	GCA_042007105.1	SAMEA3432431
ERR1528146	Available	GCA_042005965.1	SAMEA3431678
ERR1528214	Available	GCA_042004625.1	SAMEA3431932
ERR1528249	Available	GCA_042003925.1	SAMEA3431795
ERR1549734	Available	GCA_042001225.1	SAMEA3468185
ERR1560809	Available	GCA_041976505.1	SAMEA3485598
ERR1560843	Available	GCA_041975905.1	SAMEA3485632
ERR1560864	Available	GCA_041975485.1	SAMEA3485653
ERR1560902	Available	GCA_041974725.1	SAMEA3485691
ERR1560910	Available	GCA_041974565.1	SAMEA3485699
ERR1560951	Available	GCA_041973845.1	SAMEA3485741
ERR1602788	Available	GCA_041972985.1	SAMEA3485414
ERR1680314	Available	GCA_041972345.1	SAMEA3468086
ERR1469655	Available	GCA_042012075.1	SAMEA3390250
ERR1514675	Available	GCA_042009815.1	SAMEA3431685
ERR1514817	Available	GCA_042006925.1	SAMEA3432440
ERR1549723	Available	GCA_042001445.1	SAMEA3468163
ERR1549735	Available	GCA_042001185.1	SAMEA3468187
ERR1555202	Available	GCA_041978005.1	SAMEA3468261
ERR1555204	Available	GCA_041999155.1	SAMEA3468263
ERR1602793	Available	GCA_041972885.1	SAMEA3485419
ERR1514800	Available	GCA_042007285.1	SAMEA3432423
ERR1528256	Available	GCA_042003765.1	SAMEA3431809
ERR1555200	Available	GCA_041978025.1	SAMEA3468259
ERR1680298	Available	GCA_041972645.1	SAMEA3390252
ERR1469591	Available	GCA_042013015.1	SAMEA3373489
ERR1469670	Available	GCA_042011915.1	SAMEA3390268
ERR1469735	Available	GCA_042010945.1	SAMEA3374706
SRR16643896	Available	GCA_037842205.1	SAMN12635960
SRR16644516	Available	GCA_037829615.1	SAMN13839921
SRR16643975	Available	GCA_037840775.1	SAMN12880930
SRR16644013	Available	GCA_042112825.1	SAMN12636034
SRR16644098	Available	GCA_037838595.1	SAMN12723248
SRR16644100	Available	GCA_037838555.1	SAMN12746313
SRR16644103	Available	GCA_037838485.1	SAMN12723243
SRR16644110	Available	GCA_037838305.1	SAMN12708670
SRR16644192	Available	GCA_037836715.1	SAMN13839968
SRR16644207	Available	GCA_037836535.1	SAMN13840013
SRR16644299	Available	GCA_037834765.1	SAMN12739118
SRR16644376	Available	GCA_037832245.1	SAMN13840008
SRR16644386	Available	GCA_037832065.1	SAMN13840040
SRR16644565	Available	GCA_037828685.1	SAMN11811037
SRR16643934	Available	GCA_037841575.1	SAMN13323828
SRR16644025	Available	GCA_037839965.1	SAMN13655947
SRR16644087	Available	GCA_037838795.1	SAMN11108603
SRR16644169	Available	GCA_037837085.1	SAMN12636036
SRR16644238	Available	GCA_037835875.1	SAMN12609996
SRR16644391	Available	GCA_037831945.1	SAMN13446579
SRR16644051	Available	GCA_037839535.1	SAMN11477553
SRR16644061	Available	GCA_037839295.1	SAMN11637279
SRR16644071	Available	GCA_037839075.1	SAMN12142983
SRR16644108	Available	GCA_037838385.1	SAMN12739113
SRR16644113	Available	GCA_037838285.1	SAMN12708657
SRR16644149	Available	GCA_037837565.1	SAMN12875891
SRR16644345	Available	GCA_037833475.1	SAMN11515059
SRR16644494	Available	GCA_037830025.1	SAMN12708637
SRR16644499	Available	GCA_037829945.1	SAMN11341582
SRR16644554	Available	GCA_037828895.1	SAMN13840177
SRR16644584	Available	GCA_037828325.1	SAMN12497028
SRR16644594	Available	GCA_037828105.1	SAMN12610021
SRR16643910	Available	GCA_037842005.1	SAMN12635965
SRR16644034	Available	GCA_037839805.1	SAMN13560993
SRR16644154	Available	GCA_037837445.1	SAMN11288769
SRR16644164	Available	GCA_037837245.1	SAMN12636043
SRR16644231	Available	GCA_037836015.1	SAMN12610002
SRR16644510	Available	GCA_037829735.1	SAMN12788890
SRR16644512	Available	GCA_037829675.1	SAMN12788888
SRR16644659	Available	GCA_037826815.1	SAMN12995217
SRR16683563	Available	GCA_037724525.1	SAMN22823897
SRR16683568	Available	GCA_037724255.1	SAMN22823946
SRR16683578	Available	GCA_037723905.1	SAMN22823937
SRR16683588	Available	GCA_037723605.1	SAMN22824087
SRR16683650	Available	GCA_037721405.1	SAMN22823908
SRR16683672	Available	GCA_037720675.1	SAMN22823906
SRR16683675	Available	GCA_037720615.1	SAMN22824038
SRR16683450	Available	GCA_037728705.1	SAMN22823918
SRR16683506	Available	GCA_037726885.1	SAMN22823977
SRR16683678	Available	GCA_037720455.1	SAMN22824035
SRR16683761	Available	GCA_037718045.1	SAMN22824289
SRR16683783	Available	GCA_037717595.1	SAMN22824269
SRR16683786	Available	GCA_037717515.1	SAMN22824266
SRR16683791	Available	GCA_037717455.1	SAMN22824261
SRR16683798	Available	GCA_037717295.1	SAMN22824255
SRR16683801	Available	GCA_037717275.1	SAMN22824252
SRR16683808	Available	GCA_037717075.1	SAMN22824246
SRR16683838	Available	GCA_037716475.1	SAMN22824219
SRR16683853	Available	GCA_037716205.1	SAMN22824205
SRR16683868	Available	GCA_037715885.1	SAMN22824191
SRR16683541	Available	GCA_037725385.1	SAMN22824103
SRR16683551	Available	GCA_037724925.1	SAMN22824094
SRR16683556	Available	GCA_037724725.1	SAMN22823957
SRR1661160	Available	GCA_042111745.1	SAMN03201506
SRR1661180	Available	GCA_042111605.1	SAMN03201526
SRR1661257	Available	GCA_042111325.1	SAMN03201603
SRR1661263	Available	GCA_042111265.1	SAMN03201609
SRR1661163	Available	GCA_042063645.1	SAMN03201509
