sample	disposition	genbank_accession	biosample_acc
ERR222906	Available	GCA_001126245.1	SAMEA1677323
ERR222896	Available	GCA_001127565.1	SAMEA1677399
ERR191775	Available	GCA_001355035.1	SAMEA1690432
ERR223696	Available	GCA_001355155.1	SAMEA1690454
ERR191801	Available	GCA_001355235.1	SAMEA1690471
ERR223661	Available	GCA_001355015.1	SAMEA1690428
ERR191761	Available	GCA_001355315.1	SAMEA1690485
SRR7401674	Available	GCA_042132285.1	SAMN07428661
SRR8171842	Available	GCA_042132005.1	SAMN08995972
SRR8171930	Available	GCA_042131535.1	SAMN08971071
SRR8172021	Available	GCA_042131405.1	SAMN08732003
SRR8833284	Available	GCA_042130685.1	SAMN11309790
SRR8833288	Available	GCA_042130745.1	SAMN11309800
SRR8833401	Available	GCA_042130385.1	SAMN10354396
SRR8833514	Available	GCA_042129885.1	SAMN09666478
SRR8833527	Available	GCA_042129725.1	SAMN08662714
SRR8833610	Available	GCA_042129125.1	SAMN10354344
SRR8833651	Available	GCA_042128925.1	SAMN09760398
SRR8833663	Available	GCA_042128805.1	SAMN09004560
SRR8833683	Available	GCA_042128625.1	SAMN10354209
SRR8903153	Available	GCA_042128165.1	SAMN10354631
SRR8903171	Available	GCA_042128025.1	SAMN10354658
SRR9877950	Available	GCA_042115865.1	SAMN11492561
SRR9877777	Available	GCA_042116765.1	SAMN11554194
SRR9877864	Available	GCA_042116385.1	SAMN11554220
SRR9877953	Available	GCA_042115885.1	SAMN11492560
SRR9877973	Available	GCA_042115685.1	SAMN10148370
SRR9878034	Available	GCA_042115465.1	SAMN11179075
SRR9878050	Available	GCA_042115305.1	SAMN10793586
SRR9878080	Available	GCA_042115285.1	SAMN10718262
SRR9878155	Available	GCA_042114865.1	SAMN11492580
SRR9878313	Available	GCA_042114205.1	SAMN10953653
SRR8070996	Available	GCA_042127325.1	SAMN08472561
SRR8071000	Available	GCA_042127285.1	SAMN08472565
SRR8071002	Available	GCA_042127265.1	SAMN08472567
SRR8071008	Available	GCA_042127125.1	SAMN08331933
SRR8071011	Available	GCA_042127065.1	SAMN08522617
SRR8071018	Available	GCA_042126945.1	SAMN08522612
SRR8071034	Available	GCA_042126625.1	SAMN08331980
SRR8071039	Available	GCA_042126545.1	SAMN08331985
SRR8071067	Available	GCA_042126105.1	SAMN08025341
SRR8071082	Available	GCA_042125765.1	SAMN07427761
SRR8071087	Available	GCA_042125685.1	SAMN07428666
SRR8071102	Available	GCA_042125405.1	SAMN08522624
SRR8071105	Available	GCA_042125265.1	SAMN07665704
SRR8071112	Available	GCA_042125145.1	SAMN08331963
SRR8071118	Available	GCA_042125105.1	SAMN08331966
SRR8071138	Available	GCA_042124735.1	SAMN07503576
SRR8071143	Available	GCA_042124625.1	SAMN08331975
SRR8071158	Available	GCA_042124305.1	SAMN08331976
SRR8071163	Available	GCA_042124205.1	SAMN07682882
SRR8071201	Available	GCA_042123525.1	SAMN07427756
SRR8071218	Available	GCA_042123125.1	SAMN07665709
SRR8071246	Available	GCA_042122665.1	SAMN08472516
SRR8071258	Available	GCA_042122485.1	SAMN08007184
SRR8071283	Available	GCA_042122005.1	SAMN08522655
SRR8071288	Available	GCA_042121845.1	SAMN07503729
SRR8071309	Available	GCA_042121465.1	SAMN08522607
SRR8071311	Available	GCA_042121445.1	SAMN08522605
SRR8071326	Available	GCA_042121165.1	SAMN08326900
SRR8071342	Available	GCA_042120825.1	SAMN07837911
SRR8071347	Available	GCA_042120765.1	SAMN07958573
SRR8071350	Available	GCA_042120705.1	SAMN07958574
SRR8071355	Available	GCA_042120585.1	SAMN08007193
SRR8071360	Available	GCA_042120525.1	SAMN08007188
SRR8071365	Available	GCA_042120405.1	SAMN08007191
SRR8071370	Available	GCA_042120325.1	SAMN07503585
SRR8079720	Available	GCA_042118705.1	SAMN10253491
SRR8079724	Available	GCA_042118565.1	SAMN10253487
SRR8079746	Available	GCA_042118125.1	SAMN10253519
SRR8079756	Available	GCA_042117945.1	SAMN10253495
SRR8079767	Available	GCA_042117705.1	SAMN10253477
SRR9985591	Available	GCA_042114065.1	SAMN10354194
SRR9985601	Available	GCA_042113925.1	SAMN10425031
SRR9985607	Available	GCA_042113765.1	SAMN10968277
SRR9985611	Available	GCA_042113745.1	SAMN10968269
SRR9985616	Available	GCA_042113645.1	SAMN10167184
SRR9985624	Available	GCA_042113405.1	SAMN10354283
SRR9985631	Available	GCA_042113325.1	SAMN10425079
SRR9985637	Available	GCA_042113205.1	SAMN10620632
SRR9985649	Available	GCA_042113005.1	SAMN08370186
SRR9985698	Available	GCA_042111825.1	SAMN10425048
SRR9985735	Available	GCA_042110185.1	SAMN10167220
SRR9985750	Available	GCA_042109825.1	SAMN10425017
SRR9985755	Available	GCA_042109765.1	SAMN10354609
SRR9985765	Available	GCA_042108865.1	SAMN10354279
SRR9985785	Available	GCA_042108405.1	SAMN10167150
SRR9985792	Available	GCA_042108325.1	SAMN10354241
SRR9985800	Available	GCA_042108065.1	SAMN10354268
SRR9985811	Available	GCA_042108085.1	SAMN10425056
SRR9985831	Available	GCA_042107645.1	SAMN10968282
SRR9985839	Available	GCA_042107485.1	SAMN10354563
SRR9985844	Available	GCA_042107385.1	SAMN10425072
SRR9985855	Available	GCA_042079045.1	SAMN10620634
SRR9985862	Available	GCA_042078965.1	SAMN10167210
SRR9985869	Available	GCA_042107145.1	SAMN08731998
SRR9985918	Available	GCA_042078385.1	SAMN10354257
SRR9985945	Available	GCA_042078205.1	SAMN10354575
SRR9985953	Available	GCA_042106225.1	SAMN07569651
SRR9985963	Available	GCA_042106065.1	SAMN10354290
ERR2133923	Available	GCA_041944705.1	SAMEA104313228
ERR2133972	Available	GCA_041944145.1	SAMEA104313277
SRR11699143	Available	GCA_042104095.1	SAMN12231142
SRR11698335	Available	GCA_042105705.1	SAMN11463678
SRR11698465	Available	GCA_042105315.1	SAMN12708675
SRR11698602	Available	GCA_042105075.1	SAMN11038167
SRR11698641	Available	GCA_042105035.1	SAMN12860993
SRR11699035	Available	GCA_042104235.1	SAMN11288778
SRR11698446	Available	GCA_042105455.1	SAMN12723206
SRR11724443	Available	GCA_041943595.1	SAMN13976925
SRR11724259	Available	GCA_042103595.1	SAMN13840052
SRR11724280	Available	GCA_042103455.1	SAMN14056957
SRR11724317	Available	GCA_042103195.1	SAMN13918358
SRR11724593	Available	GCA_041943335.1	SAMN13840083
SRR11724822	Available	GCA_041942545.1	SAMN13495345
SRR11724303	Available	GCA_042103395.1	SAMN13918333
SRR11724496	Available	GCA_042103135.1	SAMN13840132
SRR11724905	Available	GCA_042102915.1	SAMN13840153
SRR11728094	Available	GCA_042102835.1	SAMN14112416
SRR11903863	Available	GCA_042102015.1	SAMN08723572
SRR11903869	Available	GCA_042101895.1	SAMN10354747
SRR11903878	Available	GCA_042101715.1	SAMN10354722
SRR11903934	Available	GCA_042100715.1	SAMN10086645
SRR11903939	Available	GCA_042100615.1	SAMN10086640
SRR11903978	Available	GCA_042099915.1	SAMN10354453
SRR11903991	Available	GCA_042099655.1	SAMN10354444
SRR11903993	Available	GCA_042109365.1	SAMN10354442
SRR11904045	Available	GCA_042098995.1	SAMN09666472
SRR11904088	Available	GCA_042098335.1	SAMN09294408
SRR11904095	Available	GCA_042098275.1	SAMN09282156
SRR11904148	Available	GCA_042097435.1	SAMN08956133
SRR11903922	Available	GCA_042100935.1	SAMN10354610
SRR11903962	Available	GCA_042100205.1	SAMN10354492
SRR11903988	Available	GCA_042099795.1	SAMN10167229
SRR11904125	Available	GCA_042097855.1	SAMN10354108
SRR11904135	Available	GCA_042097675.1	SAMN09086475
SRR11904259	Available	GCA_042089785.1	SAMN10714870
SRR11904306	Available	GCA_042088295.1	SAMN10714835
SRR11904346	Available	GCA_042087555.1	SAMN10517421
SRR11904610	Available	GCA_042083255.1	SAMN13181965
SRR11904027	Available	GCA_042096975.1	SAMN09768783
SRR11904179	Available	GCA_042095795.1	SAMN10718261
SRR11904215	Available	GCA_042092655.1	SAMN10793560
SRR11904224	Available	GCA_042092215.1	SAMN10793551
SRR11904301	Available	GCA_042088455.1	SAMN10714838
SRR11904337	Available	GCA_042087715.1	SAMN10596673
SRR11904341	Available	GCA_042087615.1	SAMN10596669
SRR11904357	Available	GCA_042087355.1	SAMN10581086
SRR11904417	Available	GCA_042086215.1	SAMN11405865
SRR11904518	Available	GCA_042084735.1	SAMN11554198
SRR11904571	Available	GCA_042083915.1	SAMN11492631
SRR11904788	Available	GCA_042079865.1	SAMN11288712
SRR11904845	Available	GCA_042076065.1	SAMN13323843
SRR11904937	Available	GCA_042074405.1	SAMN12883884
SRR11904170	Available	GCA_042096195.1	SAMN10765147
SRR11904277	Available	GCA_042089255.1	SAMN10656479
SRR11904297	Available	GCA_042088515.1	SAMN10714843
SRR11904299	Available	GCA_042088435.1	SAMN10714840
SRR11904384	Available	GCA_042086835.1	SAMN11405907
SRR11904406	Available	GCA_042086415.1	SAMN10621545
SRR11904436	Available	GCA_042085855.1	SAMN08865595
SRR11904533	Available	GCA_042084515.1	SAMN10925274
SRR11904715	Available	GCA_042081005.1	SAMN12737052
SRR11904740	Available	GCA_042080605.1	SAMN11179091
SRR11904750	Available	GCA_042080385.1	SAMN12737036
SRR11904783	Available	GCA_042079905.1	SAMN11335920
SRR11904806	Available	GCA_042079515.1	SAMN11405952
SRR11904822	Available	GCA_042079205.1	SAMN11405958
SRR11904867	Available	GCA_042108965.1	SAMN13323793
SRR11904893	Available	GCA_042075225.1	SAMN11179047
SRR11904924	Available	GCA_042074645.1	SAMN13323881
SRR11904166	Available	GCA_042096415.1	SAMN10834507
SRR11904191	Available	GCA_042093435.1	SAMN08956129
SRR11904355	Available	GCA_042087395.1	SAMN10581088
SRR11904365	Available	GCA_042087195.1	SAMN10581080
SRR11904477	Available	GCA_042085275.1	SAMN10925279
SRR11904649	Available	GCA_042082125.1	SAMN11160036
